photo_no,group,family,genus,species,sub.var,link,location,photographer
0,native,Apiaceae,Apium,prostratum,var. filiforme,/photo/apii/id/a/25786,"Taken at. ANBG, ACT","Photographer. Fagg, M."
1,native,Apiaceae,Apium,prostratum,var. filiforme,/photo/apii/id/a/25787,"Taken at. ANBG, ACT","Photographer. Fagg, M."
2,native,Apiaceae,Apium,prostratum,var. filiforme,/photo/apii/id/dig/16105,"Taken at. Dharug Nat Pk, near Wysemans Ferry, NSW","Photographer. Fagg, M."
3,native,Apiaceae,Apium,prostratum,var. filiforme,/photo/apii/id/dig/16106,"Taken at. Dharug Nat Pk, near Wysemans Ferry, NSW","Photographer. Fagg, M."
0,native,Apiaceae,Centella,asiatica,,/photo/apii/id/a/19686,Taken at. ANBG,"Photographer. Fagg, M."
1,native,Apiaceae,Centella,asiatica,,/photo/apii/id/a/26752,"Taken at. ANBG, ACT","Photographer. Fagg, M."
2,native,Apiaceae,Centella,asiatica,,/photo/apii/id/a/26753,"Taken at. ANBG, ACT","Photographer. Fagg, M."
3,native,Apiaceae,Centella,asiatica,,/photo/apii/id/dig/25479,"Taken at. Property of P. and H. Hadobas, approximately 10 km SSE of Boro, NSW","Photographer. Hadobas, P."
4,native,Apiaceae,Centella,asiatica,,/photo/apii/id/dig/25480,"Taken at. Property of P. and H. Hadobas, approximately 10 km SSE of Boro, NSW","Photographer. Hadobas, P."
5,native,Apiaceae,Centella,asiatica,,/photo/apii/id/dig/45060,"Taken at. Swan Coastal Plain: Lightning Swamp, Morley, WA","Photographer. Thiele, K.R."
6,native,Apiaceae,Centella,asiatica,,/photo/apii/id/dig/45061,"Taken at. Swan Coastal Plain: Lightning Swamp, Morley, WA","Photographer. Thiele, K.R."
0,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/a/46,Taken at. Burrewarra Point NSW,"Photographer. Crisp, M."
1,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/a/47,Taken at. Burrewarra Point,"Photographer. Crisp, M."
2,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/a/19412,Taken at. Near Bega NSW,"Photographer. Fagg, M."
3,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/a/25482,"Taken at. 18.3 km S from Mullewa along road to Tardun, WA","Photographer. Fagg, M."
4,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/dig/38954,"Taken at. Kulliparu Conservation Park, Eyre Peninsula, SA","Photographer. Fagg, M."
5,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/dig/38955,"Taken at. Kulliparu Conservation Park, Eyre Peninsula, SA","Photographer. Fagg, M."
6,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/dig/38956,"Taken at. Kulliparu Conservation Park, Eyre Peninsula, SA","Photographer. Fagg, M."
7,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/dig/38957,"Taken at. Kulliparu Conservation Park, Eyre Peninsula, SA","Photographer. Fagg, M."
8,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/dig/38958,"Taken at. Kulliparu Conservation Park, Eyre Peninsula, SA","Photographer. Fagg, M."
9,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/dig/45586,"Taken at. Southern Hills Station, c. 90 km E of Norseman, WA","Photographer. Thiele, K.R."
10,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/dig/45687,"Taken at. Cliffs at Eden Headland, Eden, NSW","Photographer. Fagg, M."
11,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/dig/60077,"Taken at. Australian National Herbarium, ACT","Photographer. Shaw, E.; Burrows, M."
12,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/dig/8143,"Taken at. Bermagui Headland, north of town,","Photographer. Fagg, M."
13,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/dig/8144,"Taken at. Bermagui Headland, north of town,","Photographer. Fagg, M."
14,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/dig/8145,"Taken at. Bermagui Headland, north of town,","Photographer. Fagg, M."
15,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/nsb/428,"Taken at. National Seed Bank, ANBG","Photographer. Clinton, B."
16,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/nsb/429,"Taken at. National Seed Bank, ANBG","Photographer. Clinton, B."
17,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/taa/42,Taken at. Rocky Cape National Park TAS,"Photographer. Ollerenshaw, P."
18,native,Apocynaceae,Alyxia,buxifolia,,/photo/apii/id/taa/43,Taken at. Rocky Cape National Park TAS,"Photographer. Ollerenshaw, P."
0,native,Apocynaceae,Marsdenia,rostrata,,/photo/apii/id/a/20463,Taken at. ANBG,"Photographer. Fagg, M."
1,native,Apocynaceae,Marsdenia,rostrata,,/photo/apii/id/a/28617,"Taken at. ANBG, ACT","Photographer. Fagg, M."
2,native,Apocynaceae,Marsdenia,rostrata,,/photo/apii/id/a/28618,"Taken at. Morton National Park, c. 0.5 km from Meryla Rd down Meryla Pass Rd, NSW","Photographer. Fagg, M."
3,native,Apocynaceae,Marsdenia,rostrata,,/photo/apii/id/dig/1682,"Taken at. Mt Annan Botanic Gardens, NSW","Photographer. Fagg, M."
4,native,Apocynaceae,Marsdenia,rostrata,,/photo/apii/id/dig/1683,"Taken at. Mt Annan Botanic Gardens, NSW","Photographer. Fagg, M."
5,native,Apocynaceae,Marsdenia,rostrata,,/photo/apii/id/dig/1684,"Taken at. Mt Annan Botanic Gardens, NSW","Photographer. Fagg, M."
6,native,Apocynaceae,Marsdenia,rostrata,,/photo/apii/id/rfk/3647,Taken at. see Australian Tropical Rainforest Plants Key,Photographer. Unknown
7,native,Apocynaceae,Marsdenia,rostrata,,/photo/apii/id/rfk/3648,Taken at. see Australian Tropical Rainforest Plants Key,Photographer. Unknown
8,native,Apocynaceae,Marsdenia,rostrata,,/photo/apii/id/rfk/3720,Taken at. see Australian Tropical Rainforest Plants Key,Photographer. Unknown
9,native,Apocynaceae,Marsdenia,rostrata,,/photo/apii/id/rfk/5021,Taken at. see Australian Tropical Rainforest Plants Key,Photographer. Unknown
10,native,Apocynaceae,Marsdenia,rostrata,,/photo/apii/id/rfk/5519,Taken at. see Australian Tropical Rainforest Plants Key,Photographer. Unknown
11,native,Apocynaceae,Marsdenia,rostrata,,/photo/apii/id/rfk/6471,Taken at. see Australian Tropical Rainforest Plants Key,Photographer. Unknown
12,native,Apocynaceae,Marsdenia,rostrata,,/photo/apii/id/rfk/9743,Taken at. see Australian Tropical Rainforest Plants Key,Photographer. Unknown
0,native,Apocynaceae,Centipeda,minima,subsp. minima,/photo/apii/id/dig/50783,"Taken at. Murrumbidgee Valley National Park - Berry Jerry, along Beavers Creek, NSW","Photographer. Fagg, M."
1,native,Apocynaceae,Centipeda,minima,subsp. minima,/photo/apii/id/dig/50784,"Taken at. Murrumbidgee Valley National Park - Berry Jerry, along Beavers Creek, NSW","Photographer. Fagg, M."
2,native,Apocynaceae,Centipeda,minima,subsp. minima,/photo/apii/id/dig/50785,"Taken at. Murrumbidgee Valley National Park - Berry Jerry, along Beavers Creek, NSW","Photographer. Fagg, M."
3,native,Apocynaceae,Centipeda,minima,subsp. minima,/photo/apii/id/dig/50786,"Taken at. Murrumbidgee Valley National Park - Berry Jerry, along Beavers Creek, NSW","Photographer. Fagg, M."
4,native,Apocynaceae,Centipeda,minima,subsp. minima,/photo/apii/id/dig/50787,"Taken at. Murrumbidgee Valley National Park - Berry Jerry, along Beavers Creek, NSW","Photographer. Fagg, M."
0,native,Apocynaceae,Cotula,coronopifolia,,/photo/apii/id/a/2844,Taken at. Port Adelaide SA near drain,"Photographer. Fagg, M."
1,native,Apocynaceae,Cotula,coronopifolia,,/photo/apii/id/a/3231,Taken at. Port Adelaide SA near drain,"Photographer. Fagg, M."
2,native,Apocynaceae,Cotula,coronopifolia,,/photo/apii/id/gra/45,Taken at. Mitre Lake VIC,"Photographer. Lyne, A."
3,native,Apocynaceae,Cotula,coronopifolia,,/photo/apii/id/wa/340,Taken at. Walpole > Denmark WA,"Photographer. Wrigley, J."
4,native,Apocynaceae,Cotula,coronopifolia,,/photo/apii/id/a/2843,Taken at. Port Adelaide SA near drain,"Photographer. Fagg, M."
5,native,Apocynaceae,Cotula,coronopifolia,,/photo/apii/id/dig/24274,"Taken at. Bunney Road, Kadathinni [c. 30 km directly ~NE of Eneabba].WA","Photographer. Schmidt-Lebuhn, A.N."
6,native,Apocynaceae,Cotula,coronopifolia,,/photo/apii/id/dig/24275,"Taken at. Bunney Road, Kadathinni [c. 30 km directly ~NE of Eneabba].WA","Photographer. Schmidt-Lebuhn, A.N."
7,native,Apocynaceae,Cotula,coronopifolia,,/photo/apii/id/dig/46030,"Taken at. Swan River at Belmont Racecourse, Belmont, WA","Photographer. Thiele, K.R."
8,native,Apocynaceae,Cotula,coronopifolia,,/photo/apii/id/gra/44,Taken at. Mitre Lake VIC,"Photographer. Lyne, A."
9,native,Apocynaceae,Cotula,coronopifolia,,/photo/apii/id/gra/46,Taken at. Mitre Lake VIC,"Photographer. Lyne, A."
0,native,Callitrichaceae,Callitriche,sonderi,,/photo/apii/id/dig/3631,"Taken at. Tantangara Dam, Kosciuszko Nat Pk NSW","Photographer. Fagg, M."
0,native,Dicksoniaceae,Calochlaena,dubia,,/photo/apii/id/p/413,Taken at. Girraween National Park QLD,"Photographer. Hill, R."
1,native,Dicksoniaceae,Calochlaena,dubia,,/photo/apii/id/foa/832,Taken at. ,Photographer. see Illustrator
0,native,Elatinaceae,Elatine,gratioloides,,/photo/apii/id/a/19976,Taken at. Coongie Lakes SA,"Photographer. Fagg, M."
1,native,Elatinaceae,Elatine,gratioloides,,/photo/apii/id/dig/3632,"Taken at. Tantangara Dam, Kosciuszko Nat Pk NSW","Photographer. Fagg, M."
2,native,Elatinaceae,Elatine,gratioloides,,/photo/apii/id/dig/3633,"Taken at. Tantangara Dam, Kosciuszko Nat Pk NSW","Photographer. Fagg, M."
3,native,Elatinaceae,Elatine,gratioloides,,/photo/apii/id/dig/47182,"Taken at. Inglewood: Water Board wetland between Helen St and India St, WA","Photographer. Thiele, K.R."
0,native,Oxalidaceae,Oxalis,corniculata,,/photo/apii/id/a/4860,Taken at. 20 k E St George QLD,"Photographer. Fagg, M."
1,native,Oxalidaceae,Oxalis,corniculata,,/photo/apii/id/a/23376,"Taken at. Bakers Blue Mountain, Font Hills Station, QLD","Photographer. Gray, B."
2,native,Oxalidaceae,Oxalis,corniculata,,/photo/apii/id/a/29191,"Taken at. 20 km E of St. George, QLD","Photographer. Fagg, M."
3,native,Oxalidaceae,Oxalis,corniculata,,/photo/apii/id/dig/47203,"Taken at. Drainage line between Bradby Nature Reserve and adjacent rail easement, Serpentine, WA","Photographer. Thiele, K.R."
4,native,Oxalidaceae,Oxalis,corniculata,,/photo/apii/id/dig/47204,"Taken at. Drainage line between Bradby Nature Reserve and adjacent rail easement, Serpentine, WA","Photographer. Thiele, K.R."
5,native,Oxalidaceae,Oxalis,corniculata,,/photo/apii/id/dig/49917,"Taken at. The Pink House, Research Station Road, Christmas Island","Photographer. Fagg, M."
6,native,Oxalidaceae,Oxalis,corniculata,,/photo/apii/id/dig/49918,"Taken at. The Pink House, Research Station Road, Christmas Island","Photographer. Fagg, M."
7,native,Oxalidaceae,Oxalis,corniculata,,/photo/apii/id/dig/49919,"Taken at. The Pink House, Research Station Road, Christmas Island","Photographer. Fagg, M."
8,native,Oxalidaceae,Oxalis,corniculata,,/photo/apii/id/rfk/5648,Taken at. see Australian Tropical Rainforest Plants Key,Photographer. Unknown
9,native,Oxalidaceae,Oxalis,corniculata,,/photo/apii/id/rfk/5649,Taken at. see Australian Tropical Rainforest Plants Key,Photographer. Unknown
0,native,Phormiaceae,Dianella,longifolia,,/photo/apii/id/dig/37853,"Taken at. Carnarvon Station Reserve. Mailman Spring, QLD","Photographer. Toms, E.J."
